                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6237,                 1.0928,                 1.4659,                0.39113,                0.77778,                0.39061,                0.20114,                 1.6733,                  3.549,                 1.7284,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.6775,                 1.1431,                 1.4528,                0.38783,                0.77778,                0.41018,                0.20951,                 1.5859,                 3.5836,                 1.6064,               0.001307,               0.001307,               0.001307
                     37,                 1.6932,                  1.183,                 1.5172,                0.39189,                0.81111,                0.41305,                0.22411,                 1.4871,                 2.5194,                 1.5533,              0.0012872,              0.0012872,              0.0012872
                     38,                  1.652,                 1.1578,                 1.4642,                0.42606,                0.73333,                0.42242,                 0.2329,                 1.5128,                 2.9767,                 1.6486,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.6798,                 1.2795,                   1.48,                0.39163,                0.79395,                0.42479,                0.24102,                 1.4492,                 2.4443,                 1.5593,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.6339,                 1.1881,                 1.4855,                0.39734,                0.86667,                0.44261,                0.25684,                 1.4898,                 3.3683,                  1.558,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.6393,                 1.0691,                 1.4525,                0.41804,                0.64444,                0.40399,                 0.2211,                 1.5367,                 2.7196,                 1.6598,               0.001208,               0.001208,               0.001208
                     42,                 1.6432,                 1.1414,                 1.4617,                0.37872,                    0.8,                0.41075,                0.21993,                 1.5996,                 3.4641,                 1.6475,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.5454,                 1.0336,                 1.3911,                0.39815,                    0.8,                0.42594,                0.23512,                 1.4992,                 3.0553,                 1.6213,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.6011,                 1.0258,                 1.4137,                0.41065,                0.75556,                0.39425,                0.17201,                 1.7605,                 2.9705,                 1.6809,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.5801,                 1.0173,                 1.4542,                0.42176,                0.66458,                0.41161,                 0.2113,                 1.5141,                  2.963,                 1.6019,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.4921,                0.97171,                 1.3818,                  0.387,                0.81111,                0.43486,                0.24341,                   1.42,                 2.9671,                 1.5921,               0.001109,               0.001109,               0.001109
                     47,                 1.5563,                 1.0214,                 1.4168,                0.39515,                0.73316,                0.41775,                0.24498,                 1.4658,                 3.3513,                 1.5816,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.6287,                 1.0443,                 1.4273,                0.38582,                0.79572,                0.38635,                0.20737,                 1.5178,                 2.7832,                 1.6279,              0.0010694,              0.0010694,              0.0010694
